,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Mac,Hadoop,OpenStack,HealthApp,HPC,OpenSSH,BGL,HDFS,Spark,Thunderbird,Average
parse_time,3.08,3.1,3.7,9.56,18.78,30.66,21.98,23.51,47.44,19.8,148.8,426.62,2497.5,1207.39,318.709
identified_templates,9,400,29,76,684,667,48,312,141,41,388,43,286,7622,767.571
ground_templates,11,338,29,89,626,236,48,156,74,38,320,46,236,1241,249.143
GA,0.51,0.943,1,0.993,0.829,0.871,1,0.69,0.863,0.78,0.925,0.999,0.839,0.766,0.858
PA,0.688,0.111,0.371,0.365,0.206,0.385,0.189,0.011,0.098,0.556,0.455,0.948,0.28,0.206,0.348
FGA,0.6,0.78,1,0.885,0.782,0.432,1,0.474,0.558,0.911,0.641,0.831,0.743,0.241,0.706
PTA,0.556,0.245,0.448,0.342,0.132,0.102,0.375,0.026,0.064,0.439,0.188,0.698,0.231,0.043,0.278
RTA,0.455,0.29,0.448,0.292,0.144,0.288,0.375,0.051,0.122,0.474,0.228,0.652,0.28,0.264,0.312
FTA,0.5,0.266,0.448,0.315,0.137,0.151,0.375,0.034,0.084,0.456,0.206,0.674,0.253,0.074,0.284